well,link
30/3-3,https://factpages.sodir.no/pbl/wellbore_documents/10_30_3_3_Completion_Report.pdf
6506/12-1,https://factpages.sodir.no/pbl/wellbore_documents/1004_01_Completionreport.pdf
2/12-1,https://factpages.sodir.no/pbl/wellbore_documents/1014_01_2_12_1_Completion_report.pdf
6407/7-2,https://factpages.sodir.no/pbl/wellbore_documents/1017_01_6407_7_2_Completion_report.pdf
30/9-3 A,https://factpages.sodir.no/pbl/wellbore_documents/102_30_9_3_A_Completion_Report.pdf
6407/6-3,https://factpages.sodir.no/pbl/wellbore_documents/1024_01_6407_6_3_Completion_report.pdf
31/4-9,https://factpages.sodir.no/pbl/wellbore_documents/1026_31_4_9_Completion_report.pdf
30/9-6,https://factpages.sodir.no/pbl/wellbore_documents/1027_30_9_6_Completion_Report.pdf
33/9-13 S,https://factpages.sodir.no/pbl/wellbore_documents/1028_33_9_13_S__Completion_report_and_log.pdf
25/1-8 SR,https://factpages.sodir.no/pbl/wellbore_documents/1030_25_1_8_SR_Completion_report.pdf
6508/5-1,https://factpages.sodir.no/pbl/wellbore_documents/1044_01_Completion_report.pdf
34/10-32,https://factpages.sodir.no/pbl/wellbore_documents/1051_34_10_32_Completion_report.pdf
6507/11-4,https://factpages.sodir.no/pbl/wellbore_documents/1055_01_6507_11_4_Completion_report.pdf
2/7-20,https://factpages.sodir.no/pbl/wellbore_documents/1062_2_7_20_Completion_report.pdf
33/9-12,https://factpages.sodir.no/pbl/wellbore_documents/1069_33_9_12_Completion_report_and_log.pdf
2/1-6,https://factpages.sodir.no/pbl/wellbore_documents/109_2_1_6_Completion_Report.pdf
34/7-1,https://factpages.sodir.no/pbl/wellbore_documents/111_01_34_7_1_Completion_Report_and_Log.pdf
15/12-5,https://factpages.sodir.no/pbl/wellbore_documents/113_15_12_5_Completion_report.pdf
7119/12-2,https://factpages.sodir.no/pbl/wellbore_documents/114_01_Completion_Report.pdf
33/12-5,https://factpages.sodir.no/pbl/wellbore_documents/115_33_12_5_Completion_Report.pdf
2/7-14,https://factpages.sodir.no/pbl/wellbore_documents/116_01_2_7_14_Completion_Report.pdf
2/8-3,https://factpages.sodir.no/pbl/wellbore_documents/117_01_2_8_3_Completion_report.pdf
34/7-11,https://factpages.sodir.no/pbl/wellbore_documents/1176_01_34_7_11_Completion_report.pdf
34/7-12,https://factpages.sodir.no/pbl/wellbore_documents/1187_01_34_7_12_Completion_report.pdf
33/12-6,https://factpages.sodir.no/pbl/wellbore_documents/119_33_12_6_Completion_Report.pdf
7120/8-1,https://factpages.sodir.no/pbl/wellbore_documents/120_01_Completion_Report.pdf
7119/12-1,https://factpages.sodir.no/pbl/wellbore_documents/121_01_Completion_Report.pdf
25/1-10,https://factpages.sodir.no/pbl/wellbore_documents/1219_25_1_10_Completion_report.pdf
7120/12-2,https://factpages.sodir.no/pbl/wellbore_documents/122_01_Completion_Report.pdf
2/8-11,https://factpages.sodir.no/pbl/wellbore_documents/1224_2_8_11_Completion_report.pdf
