wellname,link
30/3-3,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10
31/3-2,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/100
35/6-4 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10009
25/1-9,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/1001
35/11-28 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10010
6507/4-4 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10012
6507/4-4 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10014
15/9-25,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10020
7219/6-1,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10021
35/10-11 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10022
7324/7-4,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10023
6506/12-1,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/1004
25/8-23 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10044
25/8-23 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10045
25/8-23 B,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10046
30/6-13 R,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/1005
35/11-29 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10058
35/10-12 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10059
36/7-5 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10063
7220/2-2,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10065
35/10-11 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10069
15/3-13 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10074
15/3-13 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10075
24/12-8 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10076
24/6-5,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10083
35/10-14 S,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10092
35/10-14 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10093
36/7-5 A,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10095
7324/8-4,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10096
7324/6-2,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/10097
31/5-3,https://factpages.sodir.no/en/wellbore/PageView/Exploration/All/101
